model,accuracy,precision,recall,f1,auc,TN,FP,FN,TP
逻辑回归 LR,0.9883040935672515,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.9981016355140186,63,1,1,106
随机森林 RF,0.9415204678362573,0.944954128440367,0.9626168224299065,0.9537037037037037,0.9922605140186915,58,6,4,103
支持向量机 SVM,0.9766081871345029,0.9813084112149533,0.9813084112149533,0.9813084112149533,0.9978095794392523,62,2,2,105
梯度提升 GBDT,0.9415204678362573,0.9369369369369369,0.9719626168224299,0.9541284403669725,0.9897780373831775,57,7,3,104
