model,accuracy,precision,recall,f1,auc,TN,FP,FN,TP
逻辑回归 LR,0.5437853107344632,0.5308641975308642,0.13109756097560976,0.21026894865525672,0.5208039152759949,684,76,570,86
随机森林 RF,0.5360169491525424,0.49748743718592964,0.15091463414634146,0.23157894736842105,0.5229962291399229,660,100,557,99
支持向量机 SVM,0.530367231638418,0.4727272727272727,0.11890243902439024,0.1900121802679659,0.5354119865211809,673,87,578,78
梯度提升 GBDT,0.5261299435028248,0.4783861671469741,0.2530487804878049,0.33100697906281157,0.5030838815789473,579,181,490,166
