date,open,close,high,low,volume,amount,pct_chg,turnover
2025-07-04,257.102,257.892,262.072,253.072,272060,70162097.52,0.0,0.0
2025-07-07,257.892,252.982,260.972,250.972,174665,44187101.03,-1.9038977556496528,0.0
2025-07-08,252.792,255.402,257.992,251.912,155923,39823046.046,0.9565897969025405,0.0
2025-07-09,254.292,262.892,266.552,254.192,293884,77259752.528,2.93263169434852,0.0
2025-07-10,267.082,264.092,267.082,260.592,242393,64014052.155999996,0.45646120840496796,0.0
2025-07-11,263.592,263.592,266.092,262.192,213282,56219428.944,-0.1893279614679777,0.0
2025-07-14,263.092,260.592,263.412,258.192,149789,39033815.088,-1.1381225530365136,0.0
2025-07-15,260.592,259.842,264.592,258.092,169526,44049974.892,-0.28780622582427196,0.0
2025-07-16,260.592,256.492,260.792,255.132,156265,40080722.38,-1.2892450027324198,0.0
2025-07-17,257.462,257.592,259.842,256.452,145110,37379175.12,0.42886327838682625,0.0
2025-07-18,260.792,263.292,264.542,257.892,221866,58415542.871999994,2.212801639802464,0.0
2025-07-21,269.092,271.752,274.092,265.642,324863,88282169.976,3.2131625723531343,0.0
2025-07-22,272.092,278.752,282.092,271.272,333090,92849503.68,2.575878006417609,0.0
2025-07-23,280.252,279.112,282.842,278.682,200190,55875431.28,0.1291470554471319,0.0
2025-07-24,281.092,277.292,281.292,275.002,223891,62083183.17199999,-0.6520679870446466,0.0
2025-07-25,277.292,274.892,277.292,273.842,134326,36925142.792,-0.8655136102015071,0.0
2025-07-28,275.112,278.392,281.182,273.392,238973,66528171.416,1.2732273038138509,0.0
2025-07-29,278.792,283.912,284.092,278.772,233946,66420076.752,1.9828155981493678,0.0
2025-07-30,284.292,269.182,284.292,268.452,415943,111964368.626,-5.188227338048401,0.0
2025-07-31,272.892,256.712,274.072,256.712,447104,114776962.048,-4.6325534396802315,0.0
2025-08-01,256.892,255.162,258.692,254.842,252500,64428405.0,-0.603789460562798,0.0
2025-08-04,255.092,258.572,260.092,253.792,237682,61457910.104,1.3364058911593313,0.0
2025-08-05,259.592,257.792,261.092,255.592,219760,56652369.919999994,-0.301656791918703,0.0
2025-08-06,257.312,257.092,258.992,255.322,153233,39394978.436,-0.2715367428003934,0.0
2025-08-07,257.092,255.142,258.582,254.292,165481,42221153.302,-0.7584833444836847,0.0
2025-08-08,256.092,255.572,258.252,254.102,174282,44541599.304,0.16853360089674752,0.0
2025-08-11,255.572,255.752,258.242,254.592,213309,54554203.368,0.07043025057518193,0.0
2025-08-12,255.592,255.342,257.272,249.812,222407,56789848.194000006,-0.16031155181581713,0.0
2025-08-13,256.862,265.692,267.092,256.602,394668,104860130.256,4.053387221843652,0.0
2025-08-14,268.982,271.982,274.092,266.572,371708,101097885.25600001,2.3674028574439676,0.0
2025-08-15,270.472,272.762,274.392,268.192,241092,65760736.104,0.2867836842143756,0.0
2025-08-18,272.762,275.092,277.572,270.112,285288,78480446.49599999,0.8542245620724254,0.0
2025-08-19,275.092,269.892,276.092,268.312,244286,65930837.111999996,-1.890276707428784,0.0
2025-08-20,270.594,272.294,273.084,265.144,233535,63590179.29,0.8899856238791859,0.0
2025-08-21,272.364,272.094,274.894,271.094,182698,49711029.611999996,-0.07345002093325226,0.0
2025-08-22,272.024,280.274,282.444,271.694,264219,74053716.006,3.006313994428389,0.0
2025-08-25,283.094,283.374,286.974,279.874,312297,88496850.07800001,1.106060497941308,0.0
2025-08-26,280.114,282.594,284.084,278.674,230245,65065855.53,-0.2752546105147413,0.0
2025-08-27,282.094,271.394,282.634,271.284,382584,103831002.096,-3.9632830137936392,0.0
2025-08-28,269.154,270.504,272.084,265.814,304664,82412830.656,-0.32793650559702625,0.0
2025-08-29,271.404,299.274,309.754,271.044,780139,233475319.086,10.635702244698786,0.0
2025-09-01,299.594,297.094,299.994,292.394,429964,127739724.616,-0.7284294659743229,0.0
2025-09-02,297.124,295.964,304.194,292.124,371169,109852661.916,-0.38035100002019595,0.0
2025-09-03,296.594,302.094,304.744,296.124,508975,153758293.65,2.071197848386963,0.0
2025-09-04,306.564,297.124,316.424,293.724,657548,195373291.95200002,-1.6451832873211503,0.0
2025-09-05,292.994,318.204,318.204,292.914,708198,225351436.39200002,7.094681008602466,0.0
2025-09-08,327.094,318.464,330.744,316.594,588346,187367020.544,0.08170858945832915,0.0
