model,annual_ret,market_annual,excess_annual,sharpe,win_rate,max_dd,quarters
LinearReg,0.19226498321469165,0.08873433935243824,0.10353064386225341,0.714930380404508,0.5,-0.16127012737119334,8
DecisionTree,0.12006157021573505,0.08873433935243824,0.03132723086329681,0.48613636060572196,0.375,-0.19203955870398834,8
RandomForest,0.10949859698900477,0.08873433935243824,0.02076425763656653,0.4648133326448906,0.375,-0.17117401856963183,8
GBDT,0.19239751762498591,0.08873433935243824,0.10366317827254767,0.7154107553857474,0.5,-0.16108364743755663,8
