model,rmse_train,rmse_test,r2_train,r2_test,ic_test,rank_ic_test
LinearReg,0.1417861636348665,0.17580099580722172,0.18713850164480417,-0.2284140031949613,0.20942900528085973,0.25018329432423136
DecisionTree,0.11987390201845835,0.18743353701530957,0.41897056487812534,-0.3963577457363334,0.15912541512353348,0.21529682088671914
RandomForest,0.10878440123096021,0.18177102472041143,0.5214998247753793,-0.31326209115277237,0.1747279666827948,0.23650977328035222
GBDT,0.09757563203707717,0.18676592713184073,0.6150258258648819,-0.3864282312054852,0.14697355754457386,0.20126966261481974
