symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount,code,ret_1,ret_5,ret_20,ret_60,ma5,ma20,ma60,bias20,bias60,vol20,vol60,hl_20,vchg20,rsi14,macd,macd_sig,macd_hist,y_fwd63,quarter
600519.SH,贵州茅台,1635955200000,2021-11-04,2021-11-04 00:00:00,1536.5584799139417,1569.4512748032653,1529.1951952986751,1559.253298458178,31130,5592211731.0,600519.SH,0.022209631728045354,-0.01166262209050728,-0.014098360655737774,0.03138398216429428,1556.1282236731072,1595.1730774278976,1493.3006231913903,-0.022517794136569624,0.044165705312462666,0.020831137058657138,0.02566078287462425,0.10528211949894699,-0.2320974863711488,36.2679915233737,10.474271490219508,23.330023383141945,-12.855751892922438,0.05087019177474783,2021Q4
600519.SH,贵州茅台,1636041600000,2021-11-05,2021-11-05 00:00:00,1559.261940811013,1594.5054556714078,1559.261940811013,1572.8563618201845,27077,4956331383.0,600519.SH,0.00872408823855464,-0.0033623937614999377,-0.010687105892585258,0.0556496519721581,1555.0669427449914,1594.3235341442348,1494.682535409678,-0.013464752833604154,0.052301291116029436,0.020896054044566542,0.025601016836989142,0.1043715726892096,-0.42938126949338273,53.22257417783259,9.871729448635051,20.63836195626672,-10.76663250763167,0.02915480730133968,2021Q4
600519.SH,贵州茅台,1636300800000,2021-11-08,2021-11-08 00:00:00,1572.9082159371933,1582.2419569987983,1557.395192598692,1572.9946394655417,17706,3220439334.0,600519.SH,8.791498620830396e-05,0.00948419301164738,-0.025183169801619387,0.07127722189523267,1558.0226274144998,1592.291716992769,1496.4268502901725,-0.012119059165660917,0.05116707786987518,0.02058575846046358,0.025518302745658594,0.10436239767045773,-0.5300456524047139,51.33171912553291,9.298020906701822,18.37029196674048,-9.07227106003866,0.0164111861985603,2021Q4
600519.SH,贵州茅台,1636387200000,2021-11-09,2021-11-09 00:00:00,1572.8909312315236,1579.7097476181964,1540.0672751648783,1546.989799785569,27352,4915170027.0,600519.SH,-0.016532058678094708,-0.008106880042556774,-0.04328189888775458,0.07122082585278289,1555.4938749750315,1588.7924283299503,1498.141060974959,-0.0263109439590683,0.032606234541639356,0.02085486074112334,0.025518920736601558,0.10611672560488497,-0.10631902241390578,41.46267956778731,6.682035291944658,16.03263916441287,-9.350603872468213,0.04394388858162812,2021Q4
600519.SH,贵州茅台,1636473600000,2021-11-10,2021-11-10 00:00:00,1546.989799785569,1551.302333850144,1499.4482168412255,1515.860044874548,35349,6204803250.0,600519.SH,-0.020122792610097306,-0.006237960339943394,-0.09114980050779853,0.03553548234738457,1553.590828880804,1581.1910468940846,1499.0080330035053,-0.0413175891350166,0.01124210911483714,0.01965154528193434,0.02561789648397666,0.11790261061921667,-0.29503619647807267,36.429971353565016,2.0886522305129347,13.243840377186988,-11.155188146674053,0.07789668128096516,2021Q4
600519.SH,贵州茅台,1636560000000,2021-11-11,2021-11-11 00:00:00,1514.9439554740572,1529.3507576497018,1505.0657461838582,1529.3507576497018,22652,3987243285.0,600519.SH,0.008899708664245498,-0.01917747478106635,-0.07399267399267395,-0.01634241245136192,1547.610320719109,1575.080903439867,1498.584557714599,-0.029033521827541486,0.020530172806546565,0.01983427152931089,0.024352888242469787,0.11018874321880644,-0.14915674416857605,27.365120924539042,-0.46373247725750844,10.502324704936632,-10.96605718219414,0.0694789783001808,2021Q4
600519.SH,贵州茅台,1636646400000,2021-11-12,2021-11-12 00:00:00,1536.6103340309503,1542.7031927794983,1526.8099059162648,1532.9632611346565,17607,3124400972.0,600519.SH,0.0023621157323689967,-0.02536347352110513,-0.0746960046323103,0.01329905741216808,1539.6317005820033,1568.8934109277777,1498.91988100459,-0.022901587541166113,0.022711941152752102,0.019821311108421433,0.024095264977887765,0.10486644341462874,-0.3835299884457827,31.376890454804354,-2.171394687629345,7.967580011787901,-10.138974699417247,0.06382414955631477,2021Q4
600519.SH,贵州茅台,1636905600000,2021-11-15,2021-11-15 00:00:00,1532.8768376063083,1541.795745731842,1512.4117460934551,1522.0393271514442,24947,4410975373.0,600519.SH,-0.0071260246479271094,-0.03239382451513673,-0.02158888888888888,0.042094674556213185,1529.4406381191839,1567.2142017719723,1499.944575972372,-0.028824952306743423,0.014730378397314281,0.014589583206519825,0.023675224162865417,0.10561908763641742,-0.6418336874748751,31.299367347332634,-4.351555254407003,5.50375232507397,-9.855307579480973,0.08282135435002336,2021Q4
600519.SH,贵州茅台,1636992000000,2021-11-16,2021-11-16 00:00:00,1527.9679811961305,1571.1797453702293,1525.3752753456847,1562.5373925354097,33526,6033536261.0,600519.SH,0.02660776542466814,0.010050223183110774,-0.002306614133253837,0.06350438813204407,1532.550156669152,1567.0335765977247,1501.499623325784,-0.002869232752547024,0.04065120514278164,0.015771459541472414,0.02389820454469813,0.10288163716814168,-0.16839885898548923,47.977495032811674,-2.794142600701889,3.8441729985631303,-6.638315599265019,0.03815818584070785,2021Q4
600519.SH,贵州茅台,1637078400000,2021-11-17,2021-11-17 00:00:00,1559.9446866849637,1573.3403335789342,1546.989799785569,1551.302333850144,24505,4411450908.0,600519.SH,-0.007190265486725744,0.02338097708652853,-0.02498642042368293,0.05637947269303201,1539.6386144642713,1565.0458354457162,1502.8795189950768,-0.008781532964916794,0.03222002445508454,0.015386698538423546,0.023922370422896813,0.1036267409470753,-0.14506506646198936,44.52504937790887,-2.4345876364086507,2.5884206649341555,-5.023008301342806,0.0071699164345402355,2021Q4
